seq_idx,horizon_s,target_ts,is_attack,lstm_attack_prob,sample_rmse_scaled,sample_mae_scaled,actual_total_packets,predicted_total_packets,persistence_total_packets,actual_port_entropy,predicted_port_entropy,persistence_port_entropy
847,15,2018-03-02 09:23:35,0,0.997,1.9162,1.4956,45.0,-109.53,79.0,-0.0,1.2781,1.585
847,25,2018-03-02 09:23:45,0,0.9974,10.4985,5.8881,1301.0,-112.85,79.0,1.7702,1.2959,1.585
848,5,2018-03-02 09:23:30,0,0.9811,3.8326,1.5796,19.0,-51.79,15.0,0.9183,0.9632,-0.0
848,15,2018-03-02 09:23:40,0,0.9967,30.67,10.2267,1959.0,-105.95,15.0,1.8351,1.2593,-0.0
848,25,2018-03-02 09:23:50,0,0.9973,7.4821,3.1844,22.0,-112.17,15.0,3.1219,1.2924,-0.0
849,5,2018-03-02 09:23:35,0,0.8835,1.3303,0.9573,45.0,-28.98,19.0,-0.0,0.8189,0.9183
849,15,2018-03-02 09:23:45,0,0.9962,10.4821,5.8416,1301.0,-102.62,19.0,1.7702,1.2437,0.9183
849,25,2018-03-02 09:23:55,0,0.9973,11.5348,4.3812,105.0,-111.73,19.0,3.1061,1.2903,0.9183
850,5,2018-03-02 10:36:50,1,0.369,0.7732,0.5248,105.0,96.2,109.0,0.2762,0.0849,0.2762
850,15,2018-03-02 10:37:00,1,0.9966,1.192,0.9731,124.0,267.0,109.0,0.4395,0.0901,0.2762
850,25,2018-03-02 10:37:10,1,0.9981,1.1862,0.9348,90.0,289.99,109.0,-0.0,0.0878,0.2762
851,5,2018-03-02 10:36:55,1,0.8146,0.7621,0.5412,125.0,139.3,105.0,0.4395,0.0726,0.2762
851,15,2018-03-02 10:37:05,1,0.9971,1.0674,0.8609,96.0,272.39,105.0,0.2975,0.0933,0.2762
851,25,2018-03-02 10:37:15,1,0.9981,1.1177,0.8943,109.0,290.56,105.0,0.2762,0.0873,0.2762
852,5,2018-03-02 10:37:00,1,0.9331,0.9397,0.7291,124.0,164.93,125.0,0.4395,0.0737,0.4395
852,15,2018-03-02 10:37:10,1,0.9972,1.1301,0.8924,90.0,273.46,125.0,-0.0,0.0915,0.4395
852,25,2018-03-02 10:37:20,1,0.9981,1.1399,0.915,105.0,290.45,125.0,0.2762,0.0869,0.4395
853,5,2018-03-02 10:37:05,1,0.7623,0.7484,0.5429,96.0,133.85,124.0,0.2975,0.059,0.4395
853,15,2018-03-02 10:37:15,1,0.9966,1.0405,0.8338,109.0,265.07,124.0,0.2762,0.0795,0.4395
853,25,2018-03-02 10:37:25,1,0.998,1.1517,0.9275,105.0,288.65,124.0,0.2762,0.0866,0.4395
854,5,2018-03-02 10:37:10,1,0.8384,0.8132,0.579,90.0,138.98,96.0,-0.0,0.0674,0.2975
854,15,2018-03-02 10:37:20,1,0.9962,1.0406,0.8414,105.0,254.84,96.0,0.2762,0.0501,0.2975
854,25,2018-03-02 10:37:30,1,0.9979,1.1374,0.9155,109.0,286.28,96.0,0.2762,0.0825,0.2975
855,5,2018-03-02 10:37:15,1,0.832,0.8038,0.5834,109.0,136.16,90.0,0.2762,0.017,-0.0
855,15,2018-03-02 10:37:25,1,0.9918,1.0004,0.8039,105.0,219.76,90.0,0.2762,-0.0462,-0.0
855,25,2018-03-02 10:37:35,1,0.9972,1.0877,0.8802,105.0,268.13,90.0,0.2762,0.0294,-0.0
856,5,2018-03-02 10:37:20,1,0.8268,0.8234,0.6006,105.0,134.27,109.0,0.2762,0.0095,0.2762
856,15,2018-03-02 10:37:30,1,0.9833,0.9781,0.7765,109.0,190.66,109.0,0.2762,-0.0975,0.2762
856,25,2018-03-02 10:37:40,1,0.99,1.0096,0.8202,105.0,212.54,109.0,0.2762,-0.1103,0.2762
857,5,2018-03-02 10:37:25,1,0.8148,0.8444,0.604,105.0,127.64,105.0,0.2762,0.021,0.2762
857,15,2018-03-02 10:37:35,1,0.9647,0.9907,0.7683,105.0,159.02,105.0,0.2762,-0.1224,0.2762
857,25,2018-03-02 10:37:45,1,0.9333,1.0041,0.7695,90.0,136.94,105.0,-0.0,-0.1392,0.2762
858,5,2018-03-02 10:37:30,1,0.82,0.8369,0.603,109.0,123.89,105.0,0.2762,0.0273,0.2762
858,15,2018-03-02 10:37:40,1,0.9507,1.0035,0.7844,105.0,145.21,105.0,0.2762,-0.1175,0.2762
858,25,2018-03-02 10:37:50,1,0.9115,1.2266,0.946,166.0,131.78,105.0,0.569,-0.1269,0.2762
859,5,2018-03-02 10:37:35,1,0.8262,0.8362,0.6165,105.0,122.03,109.0,0.2762,0.0357,0.2762
859,15,2018-03-02 10:37:45,1,0.944,0.9785,0.7444,90.0,140.41,109.0,-0.0,-0.1153,0.2762
859,25,2018-03-02 10:37:55,1,0.9053,1.0927,0.8691,130.0,130.55,109.0,0.4138,-0.1229,0.2762
860,5,2018-03-02 10:37:40,1,0.8143,0.8382,0.6218,105.0,119.5,105.0,0.2762,0.0415,0.2762
860,15,2018-03-02 10:37:50,1,0.9386,1.1937,0.9019,166.0,138.35,105.0,0.569,-0.1107,0.2762
860,25,2018-03-02 10:38:00,1,0.9018,1.35,0.9846,120.0,130.05,105.0,1.1771,-0.1213,0.2762
861,5,2018-03-02 10:37:45,1,0.8078,0.8411,0.5855,90.0,118.03,105.0,-0.0,0.0465,0.2762
861,15,2018-03-02 10:37:55,1,0.9356,1.0563,0.8318,130.0,137.3,105.0,0.4138,-0.108,0.2762
861,25,2018-03-02 10:38:05,1,0.9006,1.0726,0.8399,108.0,129.75,105.0,0.258,-0.1199,0.2762
862,5,2018-03-02 10:37:50,1,0.7779,1.016,0.7289,166.0,118.66,90.0,0.569,0.0173,-0.0
862,15,2018-03-02 10:38:00,1,0.9231,1.3243,0.951,120.0,134.5,90.0,1.1771,-0.1111,-0.0
862,25,2018-03-02 10:38:10,1,0.8949,1.1178,0.8834,100.0,129.08,90.0,0.569,-0.1195,-0.0
863,5,2018-03-02 10:37:55,1,0.5649,0.8429,0.6108,130.0,103.44,166.0,0.4138,0.0726,0.569
863,15,2018-03-02 10:38:05,1,0.9357,1.0234,0.7773,108.0,141.66,166.0,0.258,-0.1081,0.569
863,25,2018-03-02 10:38:15,1,0.9053,1.2595,0.9884,181.0,131.68,166.0,0.4972,-0.1234,0.569
864,5,2018-03-02 10:38:00,1,0.815,1.1333,0.7753,120.0,127.12,130.0,1.1771,0.0358,0.4138
864,15,2018-03-02 10:38:10,1,0.9683,1.0645,0.8153,100.0,164.37,130.0,0.569,-0.117,0.4138
864,25,2018-03-02 10:38:20,1,0.9448,1.0243,0.8277,100.0,141.44,130.0,0.2975,-0.1456,0.4138
865,5,2018-03-02 10:38:05,1,0.9082,0.8458,0.6093,108.0,76.77,120.0,0.258,0.2674,1.1771
865,15,2018-03-02 10:38:15,1,0.9569,1.1989,0.9152,181.0,135.14,120.0,0.4972,-0.037,1.1771
865,25,2018-03-02 10:38:25,1,0.9187,1.0665,0.8451,114.0,130.65,120.0,0.258,-0.1088,1.1771
866,5,2018-03-02 10:38:10,1,0.9094,0.8398,0.6759,100.0,65.94,108.0,0.569,0.2976,0.258
866,15,2018-03-02 10:38:20,1,0.9493,0.9314,0.7572,100.0,116.37,108.0,0.2975,0.0682,0.258
866,25,2018-03-02 10:38:30,1,0.9275,3.208,2.0833,1074.0,130.09,108.0,1.2695,-0.0928,0.258
867,5,2018-03-02 10:38:15,1,0.9297,1.0774,0.8278,181.0,27.93,100.0,0.4972,0.4918,0.569
867,15,2018-03-02 10:38:25,1,0.996,1.4636,1.2569,114.0,-99.13,100.0,0.258,1.2205,0.569
867,25,2018-03-02 10:38:35,1,0.9972,1.469,1.2244,129.0,-110.6,100.0,0.8502,1.2833,0.569
868,5,2018-03-02 10:38:20,1,0.8746,0.7876,0.6204,100.0,61.32,181.0,0.2975,0.3322,0.4972
868,15,2018-03-02 10:38:30,1,0.9866,3.3277,2.0075,1074.0,-34.78,181.0,1.2695,0.8872,0.4972
868,25,2018-03-02 10:38:40,1,0.9965,1.5533,1.3585,189.0,-104.12,181.0,0.9568,1.2518,0.4972
869,5,2018-03-02 10:38:25,1,0.889,0.8363,0.6114,114.0,94.3,100.0,0.258,0.1948,0.2975
869,15,2018-03-02 10:38:35,1,0.9553,1.256,0.9182,129.0,139.8,100.0,0.8502,-0.0766,0.2975
869,25,2018-03-02 10:38:45,1,0.9134,1.1492,0.9225,113.0,130.67,100.0,0.2762,-0.1149,0.2975
870,5,2018-03-02 10:38:30,1,0.8786,3.0852,1.8226,1074.0,107.37,114.0,1.2695,0.1287,0.258
870,15,2018-03-02 10:38:40,1,0.9503,1.3617,1.0388,189.0,139.09,114.0,0.9568,-0.0908,0.258
870,25,2018-03-02 10:38:50,1,0.9089,1.043,0.8429,119.0,130.27,114.0,0.2762,-0.1178,0.258
871,5,2018-03-02 10:38:35,1,0.9271,1.0926,0.7648,129.0,146.97,1074.0,0.8502,0.0628,1.2695
871,15,2018-03-02 10:38:45,1,0.9955,1.1679,0.9673,113.0,243.09,1074.0,0.2762,0.0108,1.2695
871,25,2018-03-02 10:38:55,1,0.9979,1.1273,0.9051,105.0,285.35,1074.0,0.2762,0.0779,1.2695
872,5,2018-03-02 10:38:40,1,0.918,1.1306,0.8195,189.0,120.28,129.0,0.9568,0.1283,0.8502
872,15,2018-03-02 10:38:50,1,0.9874,0.9596,0.7636,119.0,187.55,129.0,0.2762,-0.0683,0.8502
872,25,2018-03-02 10:39:00,1,0.9916,1.0262,0.8248,105.0,214.74,129.0,0.2762,-0.1015,0.8502
873,5,2018-03-02 10:38:45,1,0.8128,0.8592,0.6424,113.0,78.24,189.0,0.2762,0.2541,0.9568
873,15,2018-03-02 10:38:55,1,0.9652,0.9535,0.7388,105.0,147.25,189.0,0.2762,-0.0486,0.9568
873,25,2018-03-02 10:39:05,1,0.93,1.0028,0.7673,90.0,133.74,189.0,-0.0,-0.1164,0.9568
874,5,2018-03-02 10:38:50,1,0.5272,0.7288,0.5289,119.0,65.27,113.0,0.2762,0.2795,0.2762
874,15,2018-03-02 10:39:00,1,0.9471,0.9327,0.7084,105.0,144.76,113.0,0.2762,-0.0398,0.2762
874,25,2018-03-02 10:39:10,1,0.9288,1.0927,0.8703,140.0,135.06,113.0,0.5586,-0.1153,0.2762
875,5,2018-03-02 10:38:55,1,0.7824,0.7609,0.5219,105.0,107.07,119.0,0.2762,0.1448,0.2762
875,15,2018-03-02 10:39:05,1,0.9897,0.9641,0.7771,90.0,206.4,119.0,-0.0,-0.0375,0.2762
875,25,2018-03-02 10:39:15,1,0.9965,1.9286,1.187,220.0,255.97,119.0,0.5917,0.0025,0.2762
876,5,2018-03-02 10:39:00,1,0.8499,0.8026,0.5566,105.0,121.66,105.0,0.2762,0.1037,0.2762
876,15,2018-03-02 10:39:10,1,0.9897,0.9721,0.7621,140.0,205.19,105.0,0.5586,-0.0491,0.2762
876,25,2018-03-02 10:39:20,1,0.9964,1.762,1.2353,93.0,253.48,105.0,0.2762,-0.0076,0.2762
877,5,2018-03-02 10:39:05,1,0.8675,0.8181,0.5735,90.0,125.96,105.0,-0.0,0.0759,0.2762
877,15,2018-03-02 10:39:15,1,0.983,2.0861,1.2637,220.0,183.99,105.0,0.5917,-0.0838,0.2762
877,25,2018-03-02 10:39:25,1,0.9862,1.0082,0.7938,107.0,195.37,105.0,0.2762,-0.1233,0.2762
878,5,2018-03-02 10:39:10,1,0.8241,0.8738,0.6594,140.0,122.74,90.0,0.5586,0.0285,-0.0
878,15,2018-03-02 10:39:20,1,0.9534,1.6916,1.104,93.0,147.36,90.0,0.2762,-0.1177,-0.0
878,25,2018-03-02 10:39:30,1,0.9154,1.0397,0.8308,105.0,132.38,90.0,0.2762,-0.1296,-0.0
879,5,2018-03-02 10:39:15,1,0.8923,2.0698,1.1409,220.0,141.64,140.0,0.5917,0.0085,0.5586
879,15,2018-03-02 10:39:25,1,0.9861,0.9794,0.7764,107.0,196.78,140.0,0.2762,-0.0852,0.5586
879,25,2018-03-02 10:39:35,1,0.9944,1.0474,0.8402,105.0,235.36,140.0,0.2762,-0.0669,0.5586
880,5,2018-03-02 10:39:20,1,0.9543,1.6029,1.0451,93.0,177.83,220.0,0.2762,0.0053,0.5917
880,15,2018-03-02 10:39:30,1,0.997,1.0792,0.8709,105.0,268.9,220.0,0.2762,0.058,0.5917
880,25,2018-03-02 10:39:40,1,0.9981,1.1043,0.875,125.0,290.04,220.0,0.4395,0.0833,0.5917
881,5,2018-03-02 10:39:25,1,0.3971,0.8128,0.5625,107.0,101.54,93.0,0.2762,0.0266,0.2762
881,15,2018-03-02 10:39:35,1,0.9956,1.0552,0.8575,105.0,250.38,93.0,0.2762,0.022,0.2762
881,25,2018-03-02 10:39:45,1,0.998,1.1325,0.9096,105.0,287.15,93.0,0.2762,0.0813,0.2762
882,5,2018-03-02 10:39:30,1,0.8212,0.807,0.5841,105.0,143.97,107.0,0.2762,0.0204,0.2762
882,15,2018-03-02 10:39:40,1,0.997,1.0501,0.8319,125.0,268.1,107.0,0.4395,0.0614,0.2762
882,25,2018-03-02 10:39:50,1,0.9981,1.1575,0.9327,105.0,290.04,107.0,0.2762,0.0855,0.2762
883,5,2018-03-02 10:39:35,1,0.8883,0.8481,0.6212,105.0,150.65,105.0,0.2762,0.0175,0.2762
883,15,2018-03-02 10:39:45,1,0.9968,1.0627,0.8591,105.0,260.49,105.0,0.2762,0.0377,0.2762
883,25,2018-03-02 10:39:55,1,0.9981,1.1749,0.927,81.0,288.48,105.0,-0.0,0.0834,0.2762
884,5,2018-03-02 10:39:40,1,0.8917,0.8664,0.6441,125.0,145.16,105.0,0.4395,0.0093,0.2762
884,15,2018-03-02 10:39:50,1,0.9951,1.0418,0.8356,105.0,238.33,105.0,0.2762,-0.025,0.2762
884,25,2018-03-02 10:40:00,1,0.9978,1.112,0.8777,129.0,280.76,105.0,0.4138,0.0668,0.2762
